Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,Skip,Step,Mask,Attenuator,Comment,IPO,
37,439.162500,431.562500,Minus,7.600000,SR2JJ,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
38,145.712500,145.112500,Minus,0.600000,SR2K,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
39,439.425000,431.825000,Minus,7.600000,SR2KU,On,Tone,94.8 Hz,94.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
40,439.250000,431.650000,Minus,7.600000,SR2KY,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
41,439.475000,431.875000,Minus,7.600000,SR2OX,On,Tone,94.8 Hz,94.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
42,438.875000,431.275000,Minus,7.600000,SR2SB,On,Tone,94.8 Hz,94.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
43,438.750000,431.150000,Minus,7.600000,SR2SL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
44,145.775000,145.175000,Minus,0.600000,SR2T,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
45,145.750000,145.150000,Minus,0.600000,SR2TCZ,On,Tone,94.8 Hz,94.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
46,438.775000,431.175000,Minus,7.600000,SR2TO,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
47,438.837500,431.237500,Minus,7.600000,SR2UVG,On,Tone,94.8 Hz,94.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
48,439.137500,431.537500,Minus,7.600000,SR2VV,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
49,145.737500,145.137500,Minus,0.600000,SR2W,On,Tone,82.5 Hz,82.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
50,439.025000,431.425000,Minus,7.600000,SR2WL,On,Tone,82.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
51,145.650000,145.050000,Minus,0.600000,SR2Z,On,Tone,94.8 Hz,94.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
52,438.100000,438.100000,Split, ,SR3BBS-R,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
53,145.750000,145.150000,Minus,0.600000,SR3G,On,Tone,77.0 Hz,77.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
54,439.175000,431.575000,Minus,7.600000,SR3GO,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
55,438.950000,431.350000,Minus,7.600000,SR3GW,On,Tone,77.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
56,438.975000,431.375000,Minus,7.600000,SR3JA,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
57,145.750000,145.150000,Minus,0.600000,SR3K,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
58,439.375000,431.775000,Minus,7.600000,SR3KA,On,Tone,103.5 Hz,103.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
59,438.800000,431.200000,Minus,7.600000,SR3KH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
60,145.775000,145.175000,Minus,0.600000,SR3L,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
61,439.275000,431.675000,Minus,7.600000,SR3LS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
62,439.125000,431.525000,Minus,7.600000,SR3LW,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
63,1298.400000,1270.400000,Minus,28.000000,SR3LX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
64,145.687500,145.087500,Minus,0.600000,SR3N,On,Tone,67.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
65,145.725000,145.125000,Minus,0.600000,SR3O,On,Tone,103.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
66,439.300000,431.700000,Minus,7.600000,SR3OS,On,Tone,103.5 Hz,103.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
67,439.050000,431.450000,Minus,7.600000,SR3OW,On,Tone,103.5 Hz,103.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
68,145.650000,145.050000,Minus,0.600000,SR3P,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
69,439.050000,431.450000,Minus,7.600000,SR3PI,On,Tone,67.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
70,439.200000,431.600000,Minus,7.600000,SR3PO,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
71,438.900000,431.300000,Minus,7.600000,SR3PX,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
72,438.825000,431.225000,Minus,7.600000,SR3RR,On,Tone,103.5 Hz,103.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
73,438.775000,431.175000,Minus,7.600000,SR3SE,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
74,439.100000,431.500000,Minus,7.600000,SR3SR,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
75,145.637500,145.037500,Minus,0.600000,SR3T,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
76,439.150000,431.550000,Minus,7.600000,SR3TU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
77,145.762500,145.162500,Minus,0.600000,SR3X,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
78,439.025000,431.425000,Minus,7.600000,SR3XX,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
79,438.700000,431.100000,Minus,7.600000,SR3XXX,On,Tone,110.9 Hz,110.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
80,145.712500,145.112500,Minus,0.600000,SR3Z,On,Tone,71.9 Hz,71.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
81,439.075000,431.475000,Minus,7.600000,SR3ZG,On,Tone,71.9 Hz,71.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
82,438.750000,431.150000,Minus,7.600000,SR3ZJ,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
83,439.350000,431.750000,Minus,7.600000,SR3ZX,On,Tone,131.8 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
84,145.612500,145.012500,Minus,0.600000,SR4A,On,Tone,141.3 Hz,141.3 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
85,438.975000,431.375000,Minus,7.600000,SR4AU,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
86,438.925000,431.325000,Minus,7.600000,SR4BK,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
87,439.025000,431.425000,Minus,7.600000,SR4BS,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
88,145.787500,145.187500,Minus,0.600000,SR4D,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
89,438.700000,431.100000,Minus,7.600000,SR4DB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
90,438.862500,431.262500,Minus,7.600000,SR4DG,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
91,438.575000,430.975000,Minus,7.600000,SR4DGT,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
